,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
96,brasileiro-a,2017,21,20-08,Cruzeiro,Sport Recife,2,0,MANDANTE,6.0,9.0,0.33,0.33,0.57,0.43
97,brasileiro-a,2017,21,20-08,Ponte Preta,Botafogo,2,1,MANDANTE,11.0,10.0,0.33,0.4,0.43,0.33
98,brasileiro-a,2017,21,20-08,Grêmio,Atlético-PR,0,0,EMPATE,2.0,7.0,0.8,0.53,0.5,0.57
99,brasileiro-a,2017,21,19-08,Flamengo,Atlético-GO,2,0,MANDANTE,5.0,20.0,0.47,0.27,0.3,0.4
100,brasileiro-a,2017,21,19-08,Corinthians,Vitória,0,1,VISITANTE,1.0,18.0,0.47,0.87,0.37,0.8
101,brasileiro-a,2017,20,14-08,Santos,Fluminense,0,0,EMPATE,3.0,10.0,0.4,0.73,0.4,0.63
102,brasileiro-a,2017,20,13-08,Atlético-PR,Bahia,4,1,MANDANTE,6.0,15.0,0.47,0.67,0.43,0.5
103,brasileiro-a,2017,20,13-08,Botafogo,Grêmio,1,0,MANDANTE,8.0,2.0,0.73,0.2,0.57,0.33
104,brasileiro-a,2017,20,13-08,Atlético-MG,Flamengo,2,0,MANDANTE,11.0,7.0,0.33,0.2,0.5,0.43
105,brasileiro-a,2017,20,13-08,Sport Recife,Ponte Preta,0,0,EMPATE,5.0,14.0,0.53,0.47,0.3,0.63
106,brasileiro-a,2017,20,13-08,Vasco,Palmeiras,1,1,EMPATE,13.0,4.0,0.67,0.27,0.63,0.4
107,brasileiro-a,2017,20,13-08,São Paulo,Cruzeiro,3,2,MANDANTE,16.0,9.0,0.4,0.47,0.53,0.3
108,brasileiro-a,2017,20,12-08,Vitória,Avaí,0,1,VISITANTE,19.0,18.0,0.33,0.47,0.43,0.37
109,brasileiro-a,2017,20,12-08,Atlético-GO,Coritiba,1,0,MANDANTE,20.0,12.0,0.4,0.27,0.33,0.2
110,brasileiro-a,2017,17,09-08,Ponte Preta,Fluminense,0,0,EMPATE,11.0,12.0,0.33,0.4,0.37,0.37
111,brasileiro-a,2017,19,06-08,Avaí,Santos,0,0,EMPATE,19.0,3.0,0.73,0.33,0.7,0.4
112,brasileiro-a,2017,19,06-08,Ponte Preta,Vasco,0,0,EMPATE,14.0,12.0,0.27,0.47,0.37,0.37
113,brasileiro-a,2017,19,06-08,Bahia,São Paulo,2,1,MANDANTE,13.0,17.0,0.47,0.33,0.3,0.33
114,brasileiro-a,2017,19,06-08,Coritiba,Chapecoense,2,0,MANDANTE,10.0,16.0,0.47,0.2,0.3,0.23
115,brasileiro-a,2017,19,06-08,Cruzeiro,Botafogo,0,0,EMPATE,7.0,11.0,0.33,0.4,0.4,0.5
116,brasileiro-a,2017,19,06-08,Grêmio,Atlético-MG,2,0,MANDANTE,2.0,15.0,0.4,0.73,0.47,0.57
117,brasileiro-a,2017,19,06-08,Palmeiras,Atlético-PR,0,1,VISITANTE,4.0,8.0,0.53,0.87,0.5,0.73
118,brasileiro-a,2017,19,06-08,Flamengo,Vitória,0,2,VISITANTE,5.0,18.0,0.27,0.4,0.27,0.6
119,brasileiro-a,2017,19,05-08,Corinthians,Sport Recife,3,1,MANDANTE,1.0,6.0,0.47,0.6,0.67,0.8
120,brasileiro-a,2017,19,05-08,Fluminense,Atlético-GO,3,1,MANDANTE,9.0,20.0,0.27,0.4,0.2,0.4
