,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
2615,brasileiro-a,2011,11,23-07,Flamengo,Ceará,1,1,EMPATE,3.0,11.0,0.67,0.87,0.52,0.63
2616,brasileiro-a,2011,11,23-07,América-MG,Figueirense,0,0,EMPATE,18.0,9.0,0.33,0.07,0.44,0.11
2617,brasileiro-a,2011,11,23-07,Atlético-PR,Botafogo,2,1,MANDANTE,20.0,8.0,0.53,0.07,0.59,0.07
2618,brasileiro-a,2011,11,23-07,São Paulo,Atlético-GO,2,2,EMPATE,2.0,17.0,0.07,0.4,0.19,0.67
2619,brasileiro-a,2011,11,21-07,Avaí,Internacional,1,3,VISITANTE,19.0,6.0,0.6,0.4,0.52,0.26
2620,brasileiro-a,2011,10,20-07,Botafogo,Corinthians,0,2,VISITANTE,6.0,1.0,0.87,0.6,0.83,0.67
2621,brasileiro-a,2011,10,20-07,Figueirense,Grêmio,0,0,EMPATE,10.0,14.0,0.33,0.47,0.46,0.46
2622,brasileiro-a,2011,10,20-07,Palmeiras,Flamengo,0,0,EMPATE,4.0,3.0,0.87,0.67,0.67,0.62
2623,brasileiro-a,2011,10,17-07,Ceará,América-MG,4,0,MANDANTE,11.0,19.0,0.13,0.47,0.12,0.46
2624,brasileiro-a,2011,10,17-07,Cruzeiro,Bahia,2,1,MANDANTE,8.0,16.0,0.53,0.67,0.42,0.5
2625,brasileiro-a,2011,10,17-07,Internacional,São Paulo,0,3,VISITANTE,7.0,2.0,0.4,0.67,0.62,0.58
2626,brasileiro-a,2011,10,16-07,Santos,Atlético-MG,2,1,MANDANTE,9.0,15.0,0.27,0.47,0.33,0.46
2627,brasileiro-a,2011,10,16-07,Atlético-GO,Avaí,0,1,VISITANTE,17.0,18.0,0.2,0.13,0.17,0.21
2628,brasileiro-a,2011,10,16-07,Coritiba,Fluminense,3,1,MANDANTE,12.0,13.0,0.4,0.47,0.5,0.42
2629,brasileiro-a,2011,10,16-07,Vasco,Atlético-PR,2,1,MANDANTE,5.0,20.0,0.07,0.47,0.08,0.46
2630,brasileiro-a,2011,12,14-07,Corinthians,Internacional,1,0,MANDANTE,1.0,7.0,0.6,0.8,0.57,0.77
2631,brasileiro-a,2011,9,10-07,Atlético-MG,América-MG,2,0,MANDANTE,14.0,18.0,0.2,0.13,0.14,0.24
2632,brasileiro-a,2011,9,10-07,Figueirense,Ceará,1,1,EMPATE,8.0,13.0,0.4,0.47,0.48,0.48
2633,brasileiro-a,2011,9,10-07,Palmeiras,Santos,3,0,MANDANTE,4.0,11.0,0.53,0.53,0.52,0.57
2634,brasileiro-a,2011,9,10-07,Atlético-GO,Corinthians,0,1,VISITANTE,17.0,1.0,0.87,0.33,0.81,0.24
2635,brasileiro-a,2011,9,10-07,Bahia,Botafogo,1,1,EMPATE,16.0,5.0,0.73,0.53,0.71,0.43
2636,brasileiro-a,2011,9,10-07,Fluminense,Flamengo,0,1,VISITANTE,9.0,2.0,0.73,0.4,0.62,0.57
2637,brasileiro-a,2011,9,10-07,Grêmio,Coritiba,2,0,MANDANTE,12.0,15.0,0.47,0.13,0.48,0.38
2638,brasileiro-a,2011,9,09-07,Atlético-PR,Avaí,0,0,EMPATE,20.0,19.0,0.2,0.07,0.14,0.05
2639,brasileiro-a,2011,9,09-07,São Paulo,Cruzeiro,2,1,MANDANTE,3.0,10.0,0.73,0.4,0.57,0.57
2640,brasileiro-a,2011,9,09-07,Vasco,Internacional,2,0,MANDANTE,7.0,6.0,0.73,0.33,0.67,0.38
