,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
109,brasileiro-a,2017,20,12-08,Atlético-GO,Coritiba,1,0,MANDANTE
110,brasileiro-a,2017,17,09-08,Ponte Preta,Fluminense,0,0,EMPATE
111,brasileiro-a,2017,19,06-08,Avaí,Santos,0,0,EMPATE
112,brasileiro-a,2017,19,06-08,Ponte Preta,Vasco,0,0,EMPATE
113,brasileiro-a,2017,19,06-08,Bahia,São Paulo,2,1,MANDANTE
114,brasileiro-a,2017,19,06-08,Coritiba,Chapecoense,2,0,MANDANTE
115,brasileiro-a,2017,19,06-08,Cruzeiro,Botafogo,0,0,EMPATE
116,brasileiro-a,2017,19,06-08,Grêmio,Atlético-MG,2,0,MANDANTE
117,brasileiro-a,2017,19,06-08,Palmeiras,Atlético-PR,0,1,VISITANTE
118,brasileiro-a,2017,19,06-08,Flamengo,Vitória,0,2,VISITANTE
119,brasileiro-a,2017,19,05-08,Corinthians,Sport Recife,3,1,MANDANTE
120,brasileiro-a,2017,19,05-08,Fluminense,Atlético-GO,3,1,MANDANTE
121,brasileiro-a,2017,18,03-08,Vasco,Cruzeiro,0,3,VISITANTE
122,brasileiro-a,2017,18,03-08,Atlético-PR,Avaí,5,0,MANDANTE
123,brasileiro-a,2017,18,03-08,São Paulo,Coritiba,1,2,VISITANTE
124,brasileiro-a,2017,18,02-08,Atlético-GO,Grêmio,0,1,VISITANTE
125,brasileiro-a,2017,18,02-08,Botafogo,Palmeiras,1,2,VISITANTE
126,brasileiro-a,2017,18,02-08,Santos,Flamengo,3,2,MANDANTE
127,brasileiro-a,2017,18,02-08,Atlético-MG,Corinthians,0,2,VISITANTE
128,brasileiro-a,2017,18,02-08,Vitória,Ponte Preta,3,1,MANDANTE
129,brasileiro-a,2017,18,02-08,Chapecoense,Bahia,1,1,EMPATE
130,brasileiro-a,2017,18,02-08,Sport Recife,Fluminense,2,2,EMPATE
131,brasileiro-a,2017,17,31-07,Vasco,Atlético-PR,0,1,VISITANTE
132,brasileiro-a,2017,17,30-07,Cruzeiro,Vitória,0,0,EMPATE
133,brasileiro-a,2017,17,30-07,Grêmio,Santos,1,1,EMPATE
134,brasileiro-a,2017,17,30-07,Bahia,Sport Recife,1,3,VISITANTE
135,brasileiro-a,2017,17,30-07,Corinthians,Flamengo,1,1,EMPATE
136,brasileiro-a,2017,17,30-07,Coritiba,Atlético-MG,0,2,VISITANTE
137,brasileiro-a,2017,17,30-07,Chapecoense,Atlético-GO,1,2,VISITANTE
