,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
111,brasileiro-a,2017,35,16-11,Chapecoense,Vitória,2,1,MANDANTE
112,brasileiro-a,2017,35,16-11,Palmeiras,Sport Recife,5,1,MANDANTE
113,brasileiro-a,2017,35,15-11,Corinthians,Fluminense,3,1,MANDANTE
114,brasileiro-a,2017,35,15-11,Vasco,Atlético-MG,1,1,EMPATE
115,brasileiro-a,2017,35,15-11,Cruzeiro,Avaí,2,2,EMPATE
116,brasileiro-a,2017,35,15-11,Grêmio,São Paulo,1,0,MANDANTE
117,brasileiro-a,2017,35,15-11,Ponte Preta,Atlético-PR,2,1,MANDANTE
118,brasileiro-a,2017,34,13-11,Chapecoense,Santos,2,0,MANDANTE
119,brasileiro-a,2017,34,12-11,Coritiba,Ponte Preta,1,1,EMPATE
120,brasileiro-a,2017,34,12-11,Cruzeiro,Fluminense,3,1,MANDANTE
121,brasileiro-a,2017,34,12-11,Bahia,Atlético-MG,2,2,EMPATE
122,brasileiro-a,2017,34,12-11,Atlético-GO,Sport Recife,2,0,MANDANTE
123,brasileiro-a,2017,34,12-11,Grêmio,Vitória,1,1,EMPATE
124,brasileiro-a,2017,34,12-11,Palmeiras,Flamengo,2,0,MANDANTE
125,brasileiro-a,2017,34,12-11,Vasco,São Paulo,1,1,EMPATE
126,brasileiro-a,2017,34,11-11,Corinthians,Avaí,1,0,MANDANTE
127,brasileiro-a,2017,34,11-11,Botafogo,Atlético-PR,0,1,VISITANTE
128,brasileiro-a,2017,33,09-11,Fluminense,Coritiba,2,2,EMPATE
129,brasileiro-a,2017,33,09-11,Atlético-MG,Atlético-GO,3,2,MANDANTE
130,brasileiro-a,2017,33,09-11,São Paulo,Chapecoense,2,2,EMPATE
131,brasileiro-a,2017,33,08-11,Flamengo,Cruzeiro,2,0,MANDANTE
132,brasileiro-a,2017,33,08-11,Santos,Vasco,1,2,VISITANTE
133,brasileiro-a,2017,33,08-11,Vitória,Palmeiras,3,1,MANDANTE
134,brasileiro-a,2017,33,08-11,Atlético-PR,Corinthians,0,1,VISITANTE
135,brasileiro-a,2017,33,08-11,Sport Recife,Botafogo,1,2,VISITANTE
136,brasileiro-a,2017,33,08-11,Avaí,Bahia,1,2,VISITANTE
137,brasileiro-a,2017,33,08-11,Ponte Preta,Grêmio,0,1,VISITANTE
138,brasileiro-a,2017,32,05-11,Chapecoense,Sport Recife,1,1,EMPATE
139,brasileiro-a,2017,32,05-11,Vasco,Vitória,1,1,EMPATE
140,brasileiro-a,2017,32,05-11,Bahia,Ponte Preta,2,0,MANDANTE
141,brasileiro-a,2017,32,05-11,Corinthians,Palmeiras,3,2,MANDANTE
142,brasileiro-a,2017,32,05-11,Cruzeiro,Atlético-PR,1,0,MANDANTE
143,brasileiro-a,2017,32,05-11,Grêmio,Flamengo,3,1,MANDANTE
144,brasileiro-a,2017,32,04-11,Coritiba,Avaí,4,0,MANDANTE
145,brasileiro-a,2017,32,04-11,Atlético-GO,São Paulo,0,1,VISITANTE
146,brasileiro-a,2017,32,04-11,Botafogo,Fluminense,1,2,VISITANTE
147,brasileiro-a,2017,32,04-11,Santos,Atlético-MG,3,1,MANDANTE
148,brasileiro-a,2017,31,30-10,Palmeiras,Cruzeiro,2,2,EMPATE
149,brasileiro-a,2017,31,29-10,Avaí,Grêmio,2,2,EMPATE
150,brasileiro-a,2017,31,29-10,Sport Recife,Coritiba,3,4,VISITANTE
151,brasileiro-a,2017,31,29-10,Vitória,Atlético-GO,1,1,EMPATE
152,brasileiro-a,2017,31,29-10,Atlético-MG,Botafogo,0,0,EMPATE
153,brasileiro-a,2017,31,29-10,Fluminense,Bahia,1,1,EMPATE
154,brasileiro-a,2017,31,29-10,Ponte Preta,Corinthians,1,0,MANDANTE
155,brasileiro-a,2017,31,28-10,Atlético-PR,Chapecoense,0,0,EMPATE
156,brasileiro-a,2017,31,28-10,Flamengo,Vasco,0,0,EMPATE
157,brasileiro-a,2017,31,28-10,São Paulo,Santos,2,1,MANDANTE
158,brasileiro-a,2017,30,23-10,Botafogo,Corinthians,2,1,MANDANTE
159,brasileiro-a,2017,30,22-10,Chapecoense,Fluminense,2,0,MANDANTE
160,brasileiro-a,2017,30,22-10,Ponte Preta,Avaí,1,2,VISITANTE
161,brasileiro-a,2017,30,22-10,Atlético-PR,Sport Recife,2,1,MANDANTE
162,brasileiro-a,2017,30,22-10,Bahia,Vitória,2,1,MANDANTE
163,brasileiro-a,2017,30,22-10,Cruzeiro,Atlético-MG,1,3,VISITANTE
164,brasileiro-a,2017,30,22-10,Grêmio,Palmeiras,1,3,VISITANTE
165,brasileiro-a,2017,30,22-10,Santos,Atlético-GO,1,0,MANDANTE
166,brasileiro-a,2017,30,22-10,São Paulo,Flamengo,2,0,MANDANTE
167,brasileiro-a,2017,30,21-10,Vasco,Coritiba,1,1,EMPATE
168,brasileiro-a,2017,29,19-10,Flamengo,Bahia,4,1,MANDANTE
169,brasileiro-a,2017,29,19-10,Sport Recife,Santos,1,1,EMPATE
170,brasileiro-a,2017,29,19-10,Palmeiras,Ponte Preta,2,0,MANDANTE
171,brasileiro-a,2017,29,19-10,Vitória,Atlético-PR,2,3,VISITANTE
172,brasileiro-a,2017,29,18-10,Avaí,Botafogo,1,1,EMPATE
173,brasileiro-a,2017,29,18-10,Corinthians,Grêmio,0,0,EMPATE
174,brasileiro-a,2017,29,18-10,Fluminense,São Paulo,3,1,MANDANTE
175,brasileiro-a,2017,29,18-10,Atlético-MG,Chapecoense,2,3,VISITANTE
176,brasileiro-a,2017,29,18-10,Atlético-GO,Vasco,0,1,VISITANTE
177,brasileiro-a,2017,29,18-10,Coritiba,Cruzeiro,1,0,MANDANTE
178,brasileiro-a,2017,28,16-10,Santos,Vitória,2,2,EMPATE
179,brasileiro-a,2017,28,15-10,Bahia,Corinthians,2,0,MANDANTE
180,brasileiro-a,2017,28,15-10,Coritiba,Grêmio,0,1,VISITANTE
181,brasileiro-a,2017,28,15-10,Atlético-GO,Palmeiras,1,3,VISITANTE
182,brasileiro-a,2017,28,15-10,Chapecoense,Flamengo,0,1,VISITANTE
183,brasileiro-a,2017,28,15-10,Fluminense,Avaí,1,0,MANDANTE
184,brasileiro-a,2017,28,15-10,Sport Recife,Atlético-MG,1,1,EMPATE
185,brasileiro-a,2017,28,14-10,São Paulo,Atlético-PR,2,1,MANDANTE
186,brasileiro-a,2017,28,14-10,Vasco,Botafogo,1,0,MANDANTE
187,brasileiro-a,2017,27,12-10,Palmeiras,Bahia,2,2,EMPATE
188,brasileiro-a,2017,27,12-10,Flamengo,Fluminense,1,1,EMPATE
189,brasileiro-a,2017,27,12-10,Ponte Preta,Santos,1,1,EMPATE
190,brasileiro-a,2017,27,12-10,Vitória,Sport Recife,1,2,VISITANTE
191,brasileiro-a,2017,27,11-10,Atlético-MG,São Paulo,1,0,MANDANTE
192,brasileiro-a,2017,27,11-10,Avaí,Vasco,1,2,VISITANTE
193,brasileiro-a,2017,27,11-10,Grêmio,Cruzeiro,0,1,VISITANTE
194,brasileiro-a,2017,27,11-10,Corinthians,Coritiba,3,1,MANDANTE
195,brasileiro-a,2017,27,11-10,Atlético-PR,Atlético-GO,2,2,EMPATE
196,brasileiro-a,2017,27,11-10,Botafogo,Chapecoense,2,1,MANDANTE
197,brasileiro-a,2017,28,07-10,Cruzeiro,Ponte Preta,2,1,MANDANTE
198,brasileiro-a,2017,26,02-10,Ponte Preta,Flamengo,1,0,MANDANTE
199,brasileiro-a,2017,26,01-10,Atlético-PR,Atlético-MG,0,2,VISITANTE
200,brasileiro-a,2017,26,01-10,Avaí,Atlético-GO,0,2,VISITANTE
