,Unnamed: 0,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
92,92,brasileiro-a,2017,36,19-11,Santos,Grêmio,1,0,MANDANTE,4.0,2.0,0.73,0.2,0.6,0.4
93,93,brasileiro-a,2017,36,19-11,Atlético-GO,Chapecoense,1,1,EMPATE,20.0,12.0,0.6,0.47,0.53,0.37
94,94,brasileiro-a,2017,36,19-11,Flamengo,Corinthians,3,0,MANDANTE,6.0,1.0,0.8,0.27,0.57,0.37
95,95,brasileiro-a,2017,36,19-11,São Paulo,Botafogo,0,0,EMPATE,13.0,7.0,0.27,0.53,0.37,0.57
96,96,brasileiro-a,2017,36,19-11,Sport Recife,Bahia,1,0,MANDANTE,18.0,10.0,0.73,0.07,0.63,0.2
97,97,brasileiro-a,2017,36,19-11,Vitória,Cruzeiro,1,1,EMPATE,16.0,5.0,0.53,0.4,0.5,0.33
98,98,brasileiro-a,2017,35,16-11,Bahia,Santos,3,1,MANDANTE,9.0,4.0,0.4,0.73,0.5,0.63
99,99,brasileiro-a,2017,35,16-11,Coritiba,Flamengo,1,0,MANDANTE,14.0,7.0,0.27,0.6,0.4,0.43
100,100,brasileiro-a,2017,35,16-11,Botafogo,Atlético-GO,1,2,VISITANTE,6.0,20.0,0.27,0.47,0.27,0.47
101,101,brasileiro-a,2017,35,16-11,Chapecoense,Vitória,2,1,MANDANTE,10.0,16.0,0.4,0.6,0.43,0.53
102,102,brasileiro-a,2017,35,16-11,Palmeiras,Sport Recife,5,1,MANDANTE,3.0,18.0,0.07,0.47,0.23,0.57
103,103,brasileiro-a,2017,35,15-11,Corinthians,Fluminense,3,1,MANDANTE,1.0,15.0,0.33,0.6,0.4,0.5
104,104,brasileiro-a,2017,35,15-11,Vasco,Atlético-MG,1,1,EMPATE,8.0,11.0,0.53,0.47,0.5,0.6
105,105,brasileiro-a,2017,35,15-11,Cruzeiro,Avaí,2,2,EMPATE,5.0,19.0,0.27,0.47,0.2,0.57
106,106,brasileiro-a,2017,35,15-11,Grêmio,São Paulo,1,0,MANDANTE,2.0,12.0,0.73,0.53,0.6,0.5
